"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Watertown ,Litchfield ,5 ,"3737 59 3,796 ","3367 81 3,448 ",178 ,8 ,186 G IT L,7066 ,175 ,"7,241 ","14,348 ",323 ,"14,671"
West Hartford ,Hartford ,1 ,"6684 289 6,973 ","17327 795 18,122 ",380 ,18 ,398 G IT L,13984 ,749 ,"14,733 ","38,375 ","1,851 ","40,226"
West Haven ,New Haven ,3 ,"2319 484 2,803 ","14403 3038 17,441 ",127 ,15 ,142 BF G IT L,7296 ,2610 ,"9,906 ","24,145 ","6,147 ","30,292"
Westbrook ,Middlesex ,2 ,"1162 32 1,194 ","986 50 1,036 ",63 ,1 ,64 G IT L WF,1952 ,100 ,"2,052 ","4,163 ",183 ,"4,346"
Weston ,Fairfield ,4 ,"1774 162 1,936 ","2007 272 2,279 ",48 ,7 ,55 G IT L RF,2185 ,407 ,"2,592 ","6,014 ",848 ,"6,862"
Westport ,Fairfield ,4 ,"4274 575 4,849 ","5569 755 6,324 ",122 ,15 ,137 G IT L,5731 ,1134 ,"6,865 ","15,696 ","2,479 ","18,175"
Wethersfield ,Hartford ,1 ,"3208 304 3,512 ","5915 746 6,661 ",88 ,10 ,98 G I L,5904 ,1178 ,"7,082 ","15,115 ","2,238 ","17,353"
Willington ,Tolland ,2 ,723 69 792 ,"924 134 1,058 ",38 ,7 ,45 G IT L SP WF,1439 ,342 ,"1,781 ","3,124 ",552 ,"3,676"
Wilton ,Fairfield ,4 ,"4051 137 4,188 ","2932 138 3,070 ",62 ,3 ,65 G IT L WF,4255 ,238 ,"4,493 ","11,300 ",516 ,"11,816"
Winchester ,Litchfield ,1 ,"1269 230 1,499 ","1418 325 1,743 ",45 ,3 ,48 G IT L WF,2643 ,946 ,"3,589 ","5,375 ","1,504 ","6,879"
Windham ,Windham ,2 ,"1168 499 1,667 ","3797 1702 5,499 ",145 ,47 ,192 G W,3767 ,2850 ,"6,617 ","8,877 ","5,098 ","13,975"
Windsor ,Hartford ,1 ,"2740 120 2,860 ","9302 391 9,693 ",152 ,14 ,166 G IT L WF,7498 ,388 ,"7,886 ","19,692 ",913 ,"20,605"
Windsor Locks ,Hartford ,1 ,"1285 111 1,396 ","2309 210 2,519 ",71 ,6 ,77 G IT L WF,3371 ,358 ,"3,729 ","7,036 ",685 ,"7,721"
Wolcott ,New Haven ,5 ,"2769 57 2,826 ","2541 36 2,577 ",192 ,4 ,196 G IT L WF,5351 ,139 ,"5,490 ","10,853 ",236 ,"11,089"
Woodbridge ,New Haven ,3 ,"1299 49 1,348 ","2220 98 2,318 ",46 ,2 ,48 G IT L,2959 ,138 ,"3,097 ","6,524 ",287 ,"6,811"
Woodbury ,Litchfield ,5 ,"2392 59 2,451 ","1541 57 1,598 ",194 ,6 ,200 G IT L,2606 ,104 ,"2,710 ","6,733 ",226 ,"6,959"
"","","",Republican Party ,Democratic Party ,"","",Minor Parties ,"",Unaffiliated ,"","",Totals,""
Town ,County ,C D ,Active Inactive Total ,Active Inactive Total ,Active ,Inactive ,Total M Notes ,Active ,Inactive Total ,"",Active ,Inactive ,Totals
Woodstock ,Windham ,2 ,"1532 117 1,649 ","1250 130 1,380 ",97 ,12 ,109 G IT L,1938 ,"274 2,212 ","","4,817 ",533 ,"5,350"
Totals ,"","","400,216 29,085 429,301 ","703,851 73,035 776,886 ","20,610 ","1,883 ","22,493 ","798,426 ","102,273 900,699 ","","1,923,103 ","206,276 ","2,129,379"
"",Minor Party Key
Party Key ,Party Name
ABP ,A Brookfield Party
C ,Concerned Citizen
CT ,Connecticut for Lieberman
CHA ,Chatham Party
SWC ,South Windsor Citizens
SGP ,Spring Glen Party
FS ,Friends of Saybrook
G ,Green Party
I ,Independence
IT ,Independent
L ,Libertarian
PRO ,Pro Bethel
ETP ,Enfield Taxpayers
WF ,Working Families
RF ,Reform Party
IM ,Independence for Montville
OT ,Orange Taxpayers
NC ,Norwich for Change
MIP ,Milford Independent
BF ,Better Future Party
SP ,A Sentinel Party
